neck pain, Pain or discomfort in the neck area
dizziness, A sensation of lightheadedness or imbalance or unsteadiness
cramps, Sudden involuntary muscle contractions that cause pain
bruising, Discoloration and swelling of the skin due to internal bleeding
obesity, Excessive body weight often due to an imbalance between calories and energy expenditure
swollen legs, Enlargement or puffiness in the legs due to fluid retention or other causes
swollen blood vessels, Enlargement of veins or arteries often visible under the skin
puffy face and eyes, Swelling in the face or around the eyes,
enlarged thyroid, A noticeable enlargement of the thyroid gland in the neck
brittle nails, Nails that are weak which break easily or split
swollen extremeties, Swelling in the arms legs hands or feet due to fluid buildup
excessive hunger, Unusually high desire to eat
sore throat, Pain or irritation in the throat
drying and tingling lips, Lips that feel dry or tingly
slurred speech, Difficulty speaking clearly
knee pain, Pain or discomfort in the knee joint
hip joint pain, Pain or discomfort in the hip area
muscle weakness, Reduced strength in the muscles making movement difficult
stiff neck, Difficulty in moving the neck due to muscle tightness or strain
swelling joints, Inflammation or puffiness around the joints
movement stiffness, Difficulty moving joints or muscles often due to inflammation
spinning movements, A sensation of the environment spinning
loss of balance, Difficulty maintaining balance
unsteadiness, A lack of stability or coordination in movement
weakness of one body side, Loss of strength or control on one side of the body
loss of smell, Inability to detect odors/smells
bladder discomfort, Pain or discomfort in the bladder
foul smell of urine, Unpleasant odor in the urine
frequent urination, The need to urinate more often than usual
passage of gases, Release of gas from the digestive system often with bloating or discomfort
internal itching, Itching that occurs inside the body often due to liver or kidney issues
toxic look, A distinct appearance indicating severe illness
depression, A prolonged state of sadness or low mood
irritability, A tendency to be easily angered or annoyed
muscle pain, Discomfort or soreness in the muscles
altered sensorium, A change in consciousness or mental status such as confusion or disorientation
red spots over body, Small red marks on the skin
belly pain, Pain in the abdominal area
abnormal menstruation, Irregularities in the menstrual cycle such as heavy or missed periods
dischromic patches on skin, Skin patches with abnormal color
watering from eyes, Excessive tear production
increased appetite, A noticeable increase in hunger or desire to eat
polyuria, Excessive urination
family history, A history of certain diseases or conditions in the family
mucoid sputum, Mucus-like substance coughed up from the lungs or airways
rusty sputum, Mucus with a reddish-brown color
lack of concentration, Difficulty focusing or paying attention
visual disturbances, Problems with vision such as blurriness or seeing spots
receiving blood transfusion, The process of receiving blood from a donor
receiving unsterile injections, The administration of injections with unsterile needles or equipment which may lead to infection
coma, A state of unconsciousness where the individual cannot be awakened
stomach bleeding, Bleeding in the stomach often from ulcers or other gastrointestinal issues
distention of abdomen, Enlargement or bloating of the abdomen due to fluid or gas buildup
history of alcohol consumption, A record of regular or excessive alcohol use which can lead to various health issues
fluid overload, Excessive accumulation of fluid in the body leading to swelling
blood in sputum, Presence of blood in the mucus coughed up from the lungs
prominent veins on calf, Enlarged or visible veins in the calf region often due to poor circulation
palpitations, A sensation of rapid or irregular heartbeats
painful walking, Discomfort or pain experienced while walking
pus filled pimples, Pimples filled with pus often due to infection or acne
blackheads, Small dark pores on the skin caused by clogged hair follicles
scurring, Marks left on the skin after a wound or injury has healed
skin peeling, Loss of the outer layers of skin often due to sunburn or irritation
dry, scaly skin flakes Skin that becomes dry and flakes off often due dryness
small dents in nails, Depressions or indentations in the nails potentially indicating a health condition
inflammatory nails, Nails that show signs of inflammation
blister, A fluid-filled bubble on the skin often due to friction or injury
red sore around nose, A painful or inflamed area around the nose
yellow crust ooze, Yellowish fluid that crusts over sores or wounds
cold hands and feets,hands and feet feeling chilly and numb.
